BLOCK,PHC,SUBCENTER,VILLAGE,WADI
Peint,Ambe,Ambe,Ambe,Savari pada
Peint,Ambe,Ambe,Ambe,Ukhalimal
Peint,Ambe,Ambe,Gandole,Chaukada
Peint,Ambe,Ambe,Gandole,Vadapada
Peint,Ambe,Ambe,Gandole,Holmari
Peint,Ambe,Ambe,Mohadand,Mohadand
Peint,Ambe,Ambe,Shivshet,Shivshet
Peint,Ambe,Mhasgan,Mhasgan,Jamabulpada
Peint,Ambe,Mhasgan,Kalune,Kalune
Peint,Ambe,Mhasgan,Kakadpada,Nishankhadak
Peint,Ambe,Mhasgan,Malegaon,Vakharpada
Peint,Ambe,Mhasgan,Malegaon,Dukkarbhuji
Peint,Ambe,Mhasgan,Malegaon,Asdanpada
Peint,Ambe,Mhasgan,Malegaon,Umbarpada
Peint,Ambe,Mhasgan,Malegaon,Maharvihir
Peint,Ambe,Mhasgan,Kalambari,Kalambari
Peint,Ambe,Mhasgan,Amdongra,Amdongra
Peint,Ambe,Virmal,Virmal,Dabdari
Peint,Ambe,Virmal,Pahuchibari,Ranpada
Peint,Ambe,Virmal,Karanj Khed,Karanj Khed
Peint,Ambe,Virmal,Toranmal,Toranmal
Peint,Ambe,Virmal,Diksal,Diksal
Peint,Bhuvan,Bhuvan,Adgoan,Adgoan
Peint,Bhuvan,Bhuvan,Ambapani,Ambapani
Peint,Bhuvan,Bhuvan,Bhuvan,Bhuvan
Peint,Bhuvan,Bhuvan,Borpada,Borpada
Peint,Bhuvan,Bhuvan,Bilkas,Bilkas
Peint,Bhuvan,Bhuvan,Dhanpada,Khamshet
Peint,Bhuvan,Bhuvan,Dhanpada,Borpada
Peint,Bhuvan,Bhuvan,Hanumant Pada,Hanumant Pada
Peint,Bhuvan,Bhuvan,Khadki,Shingadi
Peint,Bhuvan,Bhuvan,Khamshet,Khamshet
Peint,Bhuvan,Bhuvan,Umbarpada,Umbarpada
Peint,Bhuvan,Tondwal,Andhrute,Mahalachapada
Peint,Bhuvan,Tondwal,Andhrute,Vaitakpada
Peint,Bhuvan,Tondwal,Kasatvihir,Pimpalpada
Peint,Bhuvan,Tondwal,Tondwal,Chaphyacha pada
Peint,Bhuvan,Tondwal,Kahandolpada,Shetmal
Peint,Bhuvan,Tondwal,Kahandolpada,Pondyachamal
Peint,Bhuvan,Tondwal,Kahandolpada,Devalapada
Peint,Bhuvan,Tondwal,Kahandolpada,Shitmal
Peint,Bhuvan,Tondwal,Umrad,Bodarmal
Peint,Bhuvan,Ranvihir,Ranvihir,Ranvihir
Peint,Bhuvan,Ranvihir,Belpada,Belpada
Peint,Bhuvan,Ranvihir,Gaidhond,Gaidhond
Peint,Bhuvan,Ranvihir,Garmal,Garmal
Peint,Bhuvan,Ranvihir,Kalampada,Kalampada
Peint,Bhuvan,Ranvihir,Kelvihir,Kelvihir
Peint,Bhuvan,Ranvihir,Lalhali,Lalhali
Peint,Bhuvan,Ranvihir,Sadadpada,Sadadpada
Peint,Jogmodi,Jogmodi,Jogmodi,Bhitdar
Peint,Jogmodi,Jogmodi,Harangaon,Baravpada
Peint,Jogmodi,Jogmodi,Asarbari,Nadakdari
Peint,Jogmodi,Jogmodi,Pimpalpada,Pimpalpada
Peint,Jogmodi,Jogmodi,Mendpada,Kudalipada
Peint,Jogmodi,Jogmodi,Vadbari,Vadbari
Peint,Jogmodi,Kupurli Kh,Kapurli Kh,Kapurli Kh
Peint,Jogmodi,Kupurli Kh,Domkhadak,Domkhadak
Peint,Jogmodi,Kupurli Kh,Dabhadi,Dabhadi
Peint,Jogmodi,Tirde,Tirde,Tirde
Peint,Jogmodi,Tirde,Khirkade,Khirkade
Peint,Jogmodi,Tirde,Kupurli Bk,Phanaspada
